current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,state,temperature,unit_of_measurement
,energy,sensor,sensor.deyeinvertercombined_summary_day_grid_export_sell,deyeinvertercombined_summary_day_grid_export_sell,,,,0.0,,kWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_pv,deyeinvertercombined_summary_total_pv,,,,1.3598,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_load,deyeinvertercombined_summary_total_load,,,,1.6727,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_grid_import_buy,deyeinvertercombined_summary_total_grid_import_buy,,,,0.4708,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_grid_export_sell,deyeinvertercombined_summary_total_grid_export_sell,,,,0.0008,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_battery_discharge,deyeinvertercombined_summary_total_battery_discharge,,,,0.5749,,MWh
,energy,sensor,sensor.deyeinvertercombined_summary_total_battery_charge,deyeinvertercombined_summary_total_battery_charge,,,,0.5854,,MWh
,power,sensor,sensor.deyeinvertercombined_essential_load,deyeinvertercombined_essential_load,,,,-35.0,,W
,power,sensor,sensor.deyeinvertercombined_grid_load,deyeinvertercombined_grid_load,,,,-102.0,,W
,power,sensor,sensor.deyeinvertercombined_inverter_output_power,deyeinvertercombined_inverter_output_power,,,,-77.0,,W
,power,sensor,sensor.deyeinvertercombined_battery_output_power,deyeinvertercombined_battery_output_power,,,,-350.0,,W
,energy,sensor,sensor.deyeinvertercombined_solar_power_used,deyeinvertercombined_solar_power_used,,,,0.0,,kWh
,power,sensor,sensor.deyeinvertercombined_pv_power,deyeinvertercombined_pv_power,,,,296.0,,W
,power,sensor,sensor.deyeinvertercombined_pv1_power,deyeinvertercombined_pv1_power,,,,206.0,,W
,power,sensor,sensor.deyeinvertercombined_pv2_power,deyeinvertercombined_pv2_power,,,,90.0,,W
,power,sensor,sensor.deyeinvertercombined_pv3_power,deyeinvertercombined_pv3_power,,,,0.0,,W
,power,sensor,sensor.deyeinvertercombined_pv4_power,deyeinvertercombined_pv4_power,,,,0.0,,W
,power,sensor,sensor.deyeinvertercombined_grid_power_ct_clamp,deyeinvertercombined_grid_power_ct_clamp,,,,3236.0,,W
,current,sensor,sensor.deyeinvertercombined_battery_output_current,deyeinvertercombined_battery_output_current,,,,-6.6,,A
,power,sensor,sensor.deyeinvertercombined_non_essential_load,deyeinvertercombined_non_essential_load,,,,3338.0,,W
,power,sensor,sensor.deyeinvertercombined_battery_charge_grid_power,deyeinvertercombined_battery_charge_grid_power,,,,0.35,,kW
,,sensor,sensor.network_devices_table,Network Devices Table,,,,unknown,,
,,sensor,sensor.network_summary,Network Summary,,,,unavailable,,
,,sensor,sensor.prepaid_units_left,Prepaid units left,,,,-470.78,,kWh
,energy,sensor,sensor.deyeinvertermaster_solar_power_used_3,deyeinvertermaster_solar_power_used,,,,0.2,,kWh
,energy,sensor,sensor.deyeinvertermaster_solar_power_battery_charge,deyeinvertermaster_solar_power_battery_charge,,,,-0.2,,kWh
,power,sensor,sensor.deyeinvertermaster_essential_load_3,deyeinvertermaster_essential_load,,,,-35,,W
,power,sensor,sensor.deyeinvertermaster_non_essential_load_3,deyeinvertermaster_non_essential_load,,,,1616,,W
,,sensor,sensor.deyeinvertermaster_priority_charge_or_load_3,deyeinvertermaster_priority_charge_or_load,,,,on,,
,power,sensor,sensor.deyeinvertermaster_battery_charge_grid_power_2,deyeinvertermaster_battery_charge_grid_power,,,,0.205,,kW
,,sensor,sensor.deyeinvertermaster_ha_time,deyeinvertermaster_ha_time,,,,2511070559,,
,energy,sensor,sensor.daily_total_solar_production,Daily Total Solar Production,,,,0.02,,kWh
,energy,sensor,sensor.lifetime_total_solar_production,Lifetime Total Solar Production,,,,87.2,,kWh
,,sensor,sensor.pv_string_balance,PV String Balance,,,,74.0,,%
,,sensor,sensor.solar_optimization_status,Solar Optimization Status,,,,Active - Low Solar (0W),,
,energy,sensor,sensor.solar_optimization_energy_saved_today,Solar Optimization Energy Saved Today,,,,0,,kWh
,,sensor,sensor.system_cpu_status,System CPU Status,,,2025-11-07 05:59:00,Normal,,
,,sensor,sensor.system_memory_status,System Memory Status,,,,Normal,,
,,sensor,sensor.system_health_score,System Health Score,,,,100,,%
,,sensor,sensor.home_assistant_updates_summary,Home Assistant Updates Summary,,,,Music Assistant Update,,
,,sensor,sensor.system_health_score_2,System Health Score,,,,0,,%
,,sensor,sensor.min_soc_battery,min_soc_battery,,,,unavailable,,
,energy,sensor,sensor.deyeinverterslave_summary_total_battery_charge_grid,deyeinverterslave_summary_total_battery_charge_grid,,,,5.243,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_battery_charge_grid,deyeinvertermaster_summary_total_battery_charge_grid,,,,16.924,,kWh
,energy,sensor,sensor.deyeinverterslave_summary_total_battery_charge_grid_2,deyeinverterslave_summary_total_battery_charge_grid,,,,5.243,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_pv1_fix,deyeinvertermaster_summary_total_pv1_fix,,,,46.029,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_pv2_fix,deyeinvertermaster_summary_total_pv2_fix,,,,41.171,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_pv3_fix,deyeinvertermaster_summary_total_pv3_fix,,,,0.000,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_pv4_fix,deyeinvertermaster_summary_total_pv4_fix,,,,unknown,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_battery_charge_grid_2,deyeinvertermaster_summary_total_battery_charge_grid,,,,16.924,,kWh
,,sensor,sensor.badlogin,Badlogin,,,,unknown,,
,,event,event.backup_automatic_backup,Backup Automatic backup,,,,2025-11-07T03:44:08.659+00:00,,
,enum,sensor,sensor.backup_backup_manager_state,Backup Backup Manager state,,,,idle,,
,timestamp,sensor,sensor.backup_next_scheduled_automatic_backup,Backup Next scheduled automatic backup,,,,2025-11-08T03:42:41+00:00,,
,timestamp,sensor,sensor.backup_last_successful_automatic_backup,Backup Last successful automatic backup,,,,2025-11-07T03:44:07+00:00,,
,timestamp,sensor,sensor.backup_last_attempted_automatic_backup,Backup Last attempted automatic backup,,,,2025-11-07T03:41:18+00:00,,
,connectivity,binary_sensor,binary_sensor.remote_ui,Remote UI,,,,off,,
,,stt,stt.home_assistant_cloud,Home Assistant Cloud,,,,unknown,,
,,tts,tts.home_assistant_cloud,Home Assistant Cloud,,,,unknown,,
,,zone,zone.home,Smart Home - Pierre van Ryneveld,,,,0,,
,,script,script.scan_network_now,Scan Network Now,,,,off,,
,,script,script.export_network_devices,Export Network Device List,,,,off,,
,,script,script.test_email_basic,Test Email - Basic,,,,off,,
,,tts,tts.google_translate_en_com,Google Translate en com,,,,unknown,,
,,input_datetime,input_datetime.timezone1_time,Timezone 1 Time,,,,01:00:00,,
,,input_datetime,input_datetime.timezone2_time,Timezone 2 Time,,,,05:00:00,,
,,input_datetime,input_datetime.timezone3_time,Timezone 3 Time,,,,09:00:00,,
,,input_datetime,input_datetime.timezone4_time,Timezone 4 Time,,,,13:00:00,,
,,input_datetime,input_datetime.timezone5_time,Timezone 5 Time,,,,17:00:00,,
,,input_datetime,input_datetime.timezone6_time,Timezone 6 Time,,,,21:00:00,,
,,person,person.johanba,Johanba,,,,unknown,,
,,input_number,input_number.prepaid_meter_units,Prepaid meter Recharge Units,,,,0.01,,
,,input_number,input_number.prepaid_meter_inverter_total_units,Prepaid meter Inverter Reading,,,,0.01,,
,,input_number,input_number.solar_power_threshold_on,Solar Power ON Threshold,,,,7000.0,,W
,,input_number,input_number.solar_power_threshold_off,Solar Power OFF Threshold,,,,5000.0,,W
,,input_boolean,input_boolean.maintenance_mode,Maintenance Mode,,,,off,,
,,input_boolean,input_boolean.network_auto_scan,Auto Network Scan,,,,on,,
,,input_boolean,input_boolean.show_offline_network_devices,Show Offline Devices,,,,on,,
,,input_boolean,input_boolean.solar_optimization_enabled,Solar Power Optimization Enabled,,,,on,,
,,sun,sun.sun,Sun,,,,above_horizon,,
,timestamp,sensor,sensor.sun_next_dawn,Sun Next dawn,,,,2025-11-08T02:42:50+00:00,,
,timestamp,sensor,sensor.sun_next_dusk,Sun Next dusk,,,,2025-11-07T16:58:14+00:00,,
,timestamp,sensor,sensor.sun_next_midnight,Sun Next midnight,,,,2025-11-07T21:50:43+00:00,,
,timestamp,sensor,sensor.sun_next_noon,Sun Next noon,,,,2025-11-07T09:50:37+00:00,,
,timestamp,sensor,sensor.sun_next_rising,Sun Next rising,,,,2025-11-08T03:09:17+00:00,,
,timestamp,sensor,sensor.sun_next_setting,Sun Next setting,,,,2025-11-07T16:31:46+00:00,,
,,sensor,sensor.time,Time,,,,06:00,,
,energy,sensor,sensor.deyeinvertermaster_summary_day_battery_charge_grid,deyeinvertermaster_summary_day_battery_charge_grid,,,,0.219,,kWh
,energy,sensor,sensor.deyeinverterslave_summary_day_battery_charge_grid,deyeinverterslave_summary_day_battery_charge_grid,,,,0.119,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_day_pv1_fix,deyeinvertermaster_summary_day_pv1_fix,,,,0.007,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_day_pv2_fix,deyeinvertermaster_summary_day_pv2_fix,,,,0.016,,kWh
,energy,sensor,sensor.deyeinvertermaster_summary_day_pv3_fix,deyeinvertermaster_summary_day_pv3_fix,,,,0,,kWh
,,sensor,sensor.smart_home_pierre_van_ryneveld_blitz_lightning_azimuth,Smart Home - Pierre van Ryneveld - Blitz Lightning azimuth,,,,unknown,,°
,,sensor,sensor.smart_home_pierre_van_ryneveld_blitz_lightning_counter,Smart Home - Pierre van Ryneveld - Blitz Lightning counter,,,,0,,↯
,distance,sensor,sensor.smart_home_pierre_van_ryneveld_blitz_lightning_distance,Smart Home - Pierre van Ryneveld - Blitz Lightning distance,,,,unknown,,km
,,update,update.extended_gauge_card_update,Extended Gauge Card update,,,,off,,
,,update,update.gauge_card_pro_update,Gauge Card Pro update,,,,off,,
,,update,update.ids_hyyp_hawkmod_update,IDS Hyyp (hawkMod) update,,,,off,,
,,update,update.github_entity_row_update,GitHub Entity Row update,,,,off,,
,,update,update.lovelace_google_keep_card_update,Lovelace Google Keep Card update,,,,off,,
,,update,update.modern_circular_gauge_update,Modern Circular Gauge update,,,,off,,
,,update,update.hacs_update,HACS update,,,,off,,
,,update,update.bar_card_update,Bar Card update,,,,off,,
,,update,update.mqtt_discoverystream_update,MQTT DiscoveryStream update,,,,off,,
,,update,update.watchman_update,Watchman update,,,,off,,
,,update,update.mushroom_update,Mushroom update,,,,off,,
,,update,update.google_home_update,Google Home update,,,,off,,
,,update,update.office_365_update,Office 365 update,,,,off,,
,,update,update.microsoft_365_teams_update,Microsoft 365 - Teams update,,,,off,,
,,update,update.custom_attributes_update,Custom-Attributes update,,,,off,,
,,update,update.flexible_horseshoe_card_for_lovelace_update,Flexible Horseshoe Card for Lovelace update,,,,off,,
,,update,update.matterbridge_whatsapp_custom_notification_notify_update,matterbridge whatsapp custom notification / notify update,,,,off,,
,,update,update.text_divider_row_update,Text Divider Row update,,,,off,,
,,update,update.hikvision_nvr_ip_camera_update,Hikvision NVR / IP Camera update,,,,off,,
,,update,update.hik_connect_update,Hik-Connect update,,,,off,,
,,update,update.card_mod_update,card-mod update,,,,off,,
,,update,update.iphone_device_tracker_update,iPhone Device Tracker update,,,,off,,
,,update,update.microsoft_365_calendar_update,Microsoft 365 - Calendar update,,,,off,,
,,update,update.rain_gauge_card_update,Rain Gauge Card update,,,,off,,
,,update,update.tp_link_router_update,TP-Link Router update,,,,off,,
,,update,update.google_home_component_update,Google Home Component update,,,,off,,
,,update,update.utility_meter_next_gen_update,Utility Meter Next Gen update,,,,off,,
,,update,update.google_maps_card_update,Google Maps Card update,,,,off,,
,,update,update.sankey_chart_card_update,Sankey Chart Card update,,,,off,,
,,update,update.blitzortung_lightning_card_update,Blitzortung Lightning Card update,,,,off,,
,,update,update.balena_cloud_update,Balena Cloud update,,,,off,,
,,update,update.advanced_camera_card_update,Advanced Camera Card update,,,,off,,
