current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,state,temperature,unit_of_measurement
,voltage,sensor,sensor.sonoff_10023b8a5d_voltage,Fan Plug Voltage,,,,233.89,,V
,current,sensor,sensor.sonoff_1000cd865e_current,Inverter Power Room Current,,,,0.26,,A
,power,sensor,sensor.sonoff_1000cd865e_power,Inverter Power Room Power,,,,32.44,,W
,voltage,sensor,sensor.sonoff_1000cd865e_voltage,Inverter Power Room Voltage,,,,238.63,,V
,current,sensor,sensor.sonoff_1000cd8652_current,Available Empty Current,,,,unavailable,,A
,power,sensor,sensor.sonoff_1000cd8652_power,Available Empty Power,,,,unavailable,,W
,voltage,sensor,sensor.sonoff_1000cd8652_voltage,Available Empty Voltage,,,,unavailable,,V
,temperature,sensor,sensor.sonoff_100156c56b_temperature,NSPanel Temperature,,,,19.5,,°C
,temperature,sensor,sensor.sonoff_100156c56b_outdoor_temp,NSPanel Outdoor Temp,,,,14,,°C
,current,sensor,sensor.sonoff_1000cd8649_current,Freezer Garage Centre Current,,,,0.0,,A
,power,sensor,sensor.sonoff_1000cd8649_power,Freezer Garage Centre Power,,,,0.0,,W
,voltage,sensor,sensor.sonoff_1000cd8649_voltage,Freezer Garage Centre Voltage,,,,232.27,,V
,current,sensor,sensor.sonoff_10009ce3f9_current,Pool Pump Current,,,,0.0,,A
,power,sensor,sensor.sonoff_10009ce3f9_power,Pool Pump Power,,,,0.0,,W
,voltage,sensor,sensor.sonoff_10009ce3f9_voltage,Pool Pump Voltage,,,,238.47,,V
,current,sensor,sensor.sonoff_1000cd8453_current,Routers Garage Current,,,,0.23,,A
,power,sensor,sensor.sonoff_1000cd8453_power,Routers Garage Power,,,,42.29,,W
,voltage,sensor,sensor.sonoff_1000cd8453_voltage,Routers Garage Voltage,,,,238.37,,V
,current,sensor,sensor.sonoff_1000cd8209_current,Freezer Garage Left Wall Current,,,,1.19,,A
,power,sensor,sensor.sonoff_1000cd8209_power,Freezer Garage Left Wall Power,,,,135.72,,W
,voltage,sensor,sensor.sonoff_1000cd8209_voltage,Freezer Garage Left Wall Voltage,,,,236.78,,V
,timestamp,sensor,sensor.sonoff_a930003660,Remote,,,,2025-11-06T15:27:53+00:00,,
,,switch,switch.sonoff_10002a5897,Device2a5897,,,,off,,
,,switch,switch.sonoff_100040424b,SONOFF Alarm,,,,off,,
,,switch,switch.sonoff_10023b8a40_1,Study AirCon Plug,,,,off,,
,,switch,switch.sonoff_10023b8a5d_1,Fan Plug,,,,off,,
,,switch,switch.sonoff_1000cd865e,Inverter Power Room,,,,on,,
,,switch,switch.sonoff_1000404240,Unknown,,,,off,,
,,switch,switch.sonoff_10015ac372_1,Braai Area Light,,,,off,,
,,switch,switch.sonoff_10015ac372_2,Outdoor Light Front,,,,on,,
,,switch,switch.sonoff_10015ac372_3,TV Room Light,,,,off,,
,,switch,switch.sonoff_10015786b8_1,Enrico Room Light,,,,off,,
,,switch,switch.sonoff_10015786b8_2,Enrico Study Light,,,,off,,
,,switch,switch.sonoff_100091ce3e_1,Channel1,,,,off,,
,,switch,switch.sonoff_100091ce3e_2,BackYard Light 2,,,,off,,
,,switch,switch.sonoff_1001076ca1,Back Yard Lights,,,,off,,
,,switch,switch.sonoff_1000f9d186,Loadshedder,,,,on,,
,,switch,switch.sonoff_1000cd8652,Available Empty,,,,unavailable,,
,,switch,switch.sonoff_1001e17c4d,Garage Door,,,,unavailable,,
,,switch,switch.sonoff_1001e75f9e,Front Gate,,,,unavailable,,
,,switch,switch.sonoff_100156c56b_1,Main Bedroom Light,,,,off,,
,,switch,switch.sonoff_100156c56b_2,Shower & Toilet Lights,,,,off,,
,,switch,switch.sonoff_1000cd8649,Freezer Garage Centre,,,,on,,
,,switch,switch.sonoff_10009ce3f9,Pool Pump,,,,off,,
,,switch,switch.sonoff_1000f86dde,Pool Lights,,,,off,,
,,switch,switch.sonoff_1000cd8453,Routers Garage,,,,on,,
,,switch,switch.sonoff_1000cd8209,Freezer Garage Left Wall,,,,on,,
,monetary,sensor,sensor.deyeinvertermaster_summary_day_grid_import_buy_cost,sensor Cost,,,,0.0180000002682209,,ZAR
,,notify,notify.file,File,,,,unknown,,
,energy,sensor,sensor.energy_production_today,Solar production forecast Estimated energy production - today,,,,0.0,,kWh
,energy,sensor,sensor.energy_production_today_remaining,Solar production forecast Estimated energy production - remaining today,,,,0.0,,kWh
,energy,sensor,sensor.energy_production_tomorrow,Solar production forecast Estimated energy production - tomorrow,,,,0.0,,kWh
,timestamp,sensor,sensor.power_highest_peak_time_today,Solar production forecast Highest power peak time - today,,,,2025-11-07T03:13:54+00:00,,
,timestamp,sensor,sensor.power_highest_peak_time_tomorrow,Solar production forecast Highest power peak time - tomorrow,,,,2025-11-07T03:13:54+00:00,,
,power,sensor,sensor.power_production_now,Solar production forecast Estimated power production - now,,,,0,,W
,energy,sensor,sensor.energy_current_hour,Solar production forecast Estimated energy production - this hour,,,,0.0,,kWh
,energy,sensor,sensor.energy_next_hour,Solar production forecast Estimated energy production - next hour,,,,0.0,,kWh
,,sensor,sensor.hp_color_laserjet_mfp_m476nw_black_cartridge_hp_cf380x,HP Color LaserJet MFP M476nw Black Cartridge HP CF380X,,,,45,,%
,,sensor,sensor.hp_color_laserjet_mfp_m476nw_cyan_cartridge_hp_cf381a,HP Color LaserJet MFP M476nw Cyan Cartridge HP CF381A,,,,19,,%
,,sensor,sensor.hp_color_laserjet_mfp_m476nw_magenta_cartridge_hp_cf383a,HP Color LaserJet MFP M476nw Magenta Cartridge HP CF383A,,,,99,,%
,,sensor,sensor.hp_color_laserjet_mfp_m476nw_yellow_cartridge_hp_cf382a,HP Color LaserJet MFP M476nw Yellow Cartridge HP CF382A,,,,19,,%
,energy,sensor,sensor.energy_production_today_2,Solar production forecast Estimated energy production - today,,,,0.0,,kWh
,energy,sensor,sensor.energy_production_today_remaining_2,Solar production forecast Estimated energy production - remaining today,,,,0.0,,kWh
,energy,sensor,sensor.energy_production_tomorrow_2,Solar production forecast Estimated energy production - tomorrow,,,,0.0,,kWh
,timestamp,sensor,sensor.power_highest_peak_time_today_2,Solar production forecast Highest power peak time - today,,,,2025-11-07T03:13:54+00:00,,
,timestamp,sensor,sensor.power_highest_peak_time_tomorrow_2,Solar production forecast Highest power peak time - tomorrow,,,,2025-11-07T03:13:54+00:00,,
,power,sensor,sensor.power_production_now_2,Solar production forecast Estimated power production - now,,,,0,,W
,energy,sensor,sensor.energy_current_hour_2,Solar production forecast Estimated energy production - this hour,,,,0.0,,kWh
,energy,sensor,sensor.energy_next_hour_2,Solar production forecast Estimated energy production - next hour,,,,0.0,,kWh
,,binary_sensor,binary_sensor.astroweather_backyard_deep_sky_view,Astroweather Backyard Deep Sky View,,,,off,,
,,binary_sensor,binary_sensor.astroweather_backyard_moon_rises_during_darkness,Astroweather Backyard Moon rises during darkness,,,,on,,
,,binary_sensor,binary_sensor.astroweather_backyard_moon_sets_during_darkness,Astroweather Backyard Moon sets during darkness,,,,off,,
,,binary_sensor,binary_sensor.astroweather_backyard_moon_always_up_during_darkness,Astroweather Backyard Moon always up during darkness,,,,off,,
,,binary_sensor,binary_sensor.astroweather_backyard_moon_always_down_during_darkness,Astroweather Backyard Moon always down during darkness,,,,off,,
,,sensor,sensor.astroweather_backyard_forecast_length,Astroweather Backyard Forecast Length,,,,58,,h
,,sensor,sensor.astroweather_backyard_location_name,Astroweather Backyard Location Name,,,,unknown,,
,,sensor,sensor.astroweather_backyard_latitude,Astroweather Backyard Latitude,,,,-25.84051,,°
,,sensor,sensor.astroweather_backyard_longitude,Astroweather Backyard Longitude,,,,28.24814,,°
,,sensor,sensor.astroweather_backyard_elevation,Astroweather Backyard Elevation,,,,0,,m
,,sensor,sensor.astroweather_backyard_time_shift,Astroweather Backyard Time Shift,,,,7200,,
,timestamp,sensor,sensor.astroweather_backyard_timestamp,Astroweather Backyard Timestamp,,,,2025-11-07T03:00:00+00:00,,
,,sensor,sensor.astroweather_backyard_cloud_cover,Astroweather Backyard Cloud Cover,,,,99,,%
,,sensor,sensor.astroweather_backyard_cloudless,Astroweather Backyard Cloudless,,,,1,,%
,,sensor,sensor.astroweather_backyard_clouds_area,Astroweather Backyard Clouds Area,,,,99,,%
,,sensor,sensor.astroweather_backyard_clouds_area_high,Astroweather Backyard Clouds Area High,,,,97,,%
,,sensor,sensor.astroweather_backyard_clouds_area_medium,Astroweather Backyard Clouds Area Medium,,,,0,,%
,,sensor,sensor.astroweather_backyard_clouds_area_low,Astroweather Backyard Clouds Area Low,,,,77,,%
,,sensor,sensor.astroweather_backyard_fog_area,Astroweather Backyard Fog Area,,,,9,,%
,,sensor,sensor.astroweather_backyard_fog_2m_area,Astroweather Backyard Fog 2m Area,,,,9,,%
,,sensor,sensor.astroweather_backyard_seeing_percentage,Astroweather Backyard Seeing Percentage,,,,67,,%
,,sensor,sensor.astroweather_backyard_seeing,Astroweather Backyard Seeing,,,,0.82,,
,,sensor,sensor.astroweather_backyard_transparency,Astroweather Backyard Transparency,,,,24,,%
,,sensor,sensor.astroweather_backyard_transparency_plain,Astroweather Backyard Transparency Plain,,,,unknown,,
,temperature,sensor,sensor.astroweather_backyard_lifted_index,Astroweather Backyard Lifted Index,,,,-4.73,,°C
,,sensor,sensor.astroweather_backyard_lifted_index_plain,Astroweather Backyard Lifted Index Plain,,,,"-6 to -4, very unstable",,
,humidity,sensor,sensor.astroweather_backyard_2m_relative_humidity,Astroweather Backyard 2m Relative Humidity,,,,88.0,,%
,,sensor,sensor.astroweather_backyard_calm_percentage,Astroweather Backyard Calm Percentage,,,,87,,%
,,sensor,sensor.astroweather_backyard_10m_wind_direction,Astroweather Backyard 10m Wind Direction,,,,NE,,
,wind_speed,sensor,sensor.astroweather_backyard_10m_wind_speed,Astroweather Backyard 10m Wind Speed,,,,7.416,,km/h
,temperature,sensor,sensor.astroweather_backyard_2m_temperature,Astroweather Backyard 2m Temperature,,,,14.8,,°C
,temperature,sensor,sensor.astroweather_backyard_2m_dewpoint,Astroweather Backyard 2m Dewpoint,,,,12.8,,°C
,precipitation,sensor,sensor.astroweather_backyard_precipitation_amount,Astroweather Backyard Precipitation Amount,,,,0.0,,mm
,,sensor,sensor.astroweather_backyard_condition,Astroweather Backyard Condition,,,,55,,%
,,sensor,sensor.astroweather_backyard_sun_altitude,Astroweather Backyard Sun Altitude,,,,8.791,,°
,,sensor,sensor.astroweather_backyard_sun_azimuth,Astroweather Backyard Sun Azimuth,,,,103.963,,°
,timestamp,sensor,sensor.astroweather_backyard_sun_next_setting,Astroweather Backyard Sun Next Setting,,,,2025-11-07T16:52:02+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_sun_next_setting_nautical,Astroweather Backyard Sun Next Setting Nautical,,,,2025-11-07T17:21:06+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_sun_next_setting_astronomical,Astroweather Backyard Sun Next Setting Astronomical,,,,2025-11-07T17:51:07+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_sun_next_rising,Astroweather Backyard Sun Next Rising,,,,2025-11-08T02:49:07+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_sun_next_rising_nautical,Astroweather Backyard Sun Next Rising Nautical,,,,2025-11-08T02:20:03+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_sun_next_rising_astronomical,Astroweather Backyard Sun Next Rising Astronomical,,,,2025-11-08T01:50:02+00:00,,
,,sensor,sensor.astroweather_backyard_sun_constellation,Astroweather Backyard Sun Constellation,,,,Libra,,
,timestamp,sensor,sensor.astroweather_backyard_moon_next_rising,Astroweather Backyard Moon Next Rising,,,,2025-11-07T19:02:05+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_moon_next_setting,Astroweather Backyard Moon Next Setting,,,,2025-11-07T04:26:06+00:00,,
,,sensor,sensor.astroweather_backyard_moon_phase,Astroweather Backyard Moon Phase,,,,95.9,,%
,,sensor,sensor.astroweather_backyard_moon_icon,Astroweather Backyard Moon Icon,,,,moon-waning-gibbous,,
,timestamp,sensor,sensor.astroweather_backyard_moon_next_new_moon,Astroweather Backyard Moon Next New Moon,,,,2025-11-20T06:47:13+00:00,,
,timestamp,sensor,sensor.astroweather_backyard_moon_next_full_moon,Astroweather Backyard Moon Next Full Moon,,,,2025-12-04T23:14:00+00:00,,
,,sensor,sensor.astroweather_backyard_moon_altitude,Astroweather Backyard Moon Altitude,,,,4.211,,°
,,sensor,sensor.astroweather_backyard_moon_azimuth,Astroweather Backyard Moon Azimuth,,,,302.942,,°
,distance,sensor,sensor.astroweather_backyard_moon_distance,Astroweather Backyard Moon Distance,,,,357787.0,,km
,,sensor,sensor.astroweather_backyard_moon_relative_distance,Astroweather Backyard Moon Relative Distance,,,,-6.923,,%
,,sensor,sensor.astroweather_backyard_moon_angular_size,Astroweather Backyard Moon Angular Size,,,,0.557,,°
,,sensor,sensor.astroweather_backyard_moon_relative_size,Astroweather Backyard Moon Relative Size,,,,7.564,,%
,,sensor,sensor.astroweather_backyard_moon_constellation,Astroweather Backyard Moon Constellation,,,,Taurus,,
,timestamp,sensor,sensor.astroweather_backyard_moon_next_dark_night,Astroweather Backyard Moon Next Dark Night,,,,2025-11-17T18:00:34+00:00,,
,duration,sensor,sensor.astroweather_backyard_astronomical_night_duration,Astroweather Backyard Astronomical Night Duration,,,,28735.358158,,s
,duration,sensor,sensor.astroweather_backyard_deep_sky_darkness,Astroweather Backyard Deep Sky Darkness,,,,4258.020087,,s
,,sensor,sensor.astroweather_backyard_deepsky_forecast_today,Astroweather Backyard Deepsky Forecast Today,,,,54,,%
,,sensor,sensor.astroweather_backyard_deepsky_forecast_today_plain,Astroweather Backyard Deepsky Forecast Today Plain,,,,▄▄▄▄▄▄▄▄,,
,,sensor,sensor.astroweather_backyard_deepsky_forecast_today_description,Astroweather Backyard Deepsky Forecast Today Description,,,,Cloudy,,
,,sensor,sensor.astroweather_backyard_deepsky_forecast_tomorrow,Astroweather Backyard Deepsky Forecast Tomorrow,,,,54,,%
,,sensor,sensor.astroweather_backyard_deepsky_forecast_tomorrow_plain,Astroweather Backyard Deepsky Forecast Tomorrow Plain,,,,▄▄▄▄▄▄▄▆,,
,,sensor,sensor.astroweather_backyard_deepsky_forecast_tomorrow_description,Astroweather Backyard Deepsky Forecast Tomorrow Description,,,,Partlycloudy night,,
,,sensor,sensor.astroweather_backyard_uptonight,Astroweather Backyard Uptonight,,,,0,,
,,weather,weather.astroweather_backyard,Astroweather Backyard,88.0,,,Fair,14.8,
,,sensor,sensor.25_84051_28_24814,"-25.84051, 28.24814",,,,0,,alerts
,connectivity,binary_sensor,binary_sensor.dir_825_wan_status,DIR-825 WAN status,,,,off,,
,,sensor,sensor.dir_825_external_ip,DIR-825 External IP,,,,0.0.0.0,,
,data_rate,sensor,sensor.dir_825_download_speed,DIR-825 Download speed,,,,0.0,,KiB/s
,data_rate,sensor,sensor.dir_825_upload_speed,DIR-825 Upload speed,,,,0.0,,KiB/s
,,calendar,calendar.anniversaries,Anniversaries,,,,off,,
,,sensor,sensor.anniversary_johan_linandi_marraige,Johan & Linandi Marraige,,,,4,,Days
,connectivity,binary_sensor,binary_sensor.archer_d2_wan_status,Archer_D2 WAN status,,,,on,,
,,sensor,sensor.archer_d2_external_ip,Archer_D2 External IP,,,,0.0.0.0,,
,data_rate,sensor,sensor.archer_d2_download_speed,Archer_D2 Download speed,,,,0.0,,KiB/s
,data_rate,sensor,sensor.archer_d2_upload_speed,Archer_D2 Upload speed,,,,5.19959288953567,,KiB/s
,connectivity,binary_sensor,binary_sensor.internet_home_gateway_device_wan_status,Internet Home Gateway Device WAN status,,,,on,,
,,sensor,sensor.internet_home_gateway_device_external_ip,Internet Home Gateway Device External IP,,,,102.33.34.191,,
,data_rate,sensor,sensor.internet_home_gateway_device_download_speed,Internet Home Gateway Device Download speed,,,,12.0491644320632,,KiB/s
,data_rate,sensor,sensor.internet_home_gateway_device_upload_speed,Internet Home Gateway Device Upload speed,,,,6.56330776768658,,KiB/s
,,sensor,sensor.current_version,Current Version,,,,2025.11.0,,
,,ai_task,ai_task.openai_ai_task,OpenAI AI Task,,,,unknown,,
,,conversation,conversation.openai_conversation,OpenAI Conversation,,,,unknown,,
,,todo,todo.shopping_list,Shopping List,,,,0,,
,,sensor,sensor.adguard_home_dns_queries,AdGuard Home DNS queries,,,,0,,queries
,,sensor,sensor.adguard_home_parental_control_blocked,AdGuard Home Parental control blocked,,,,0,,requests
,,sensor,sensor.adguard_home_dns_queries_blocked_ratio,AdGuard Home DNS queries blocked ratio,,,,0.00,,%
,,sensor,sensor.adguard_home_dns_queries_blocked,AdGuard Home DNS queries blocked,,,,0,,queries
,,switch,switch.adguard_home_protection,AdGuard Home Protection,,,,on,,
,,weather,weather.forecast_home,Forecast Smart Home - Pierre van Ryneveld,89,,,cloudy,14.1,
,,media_player,media_player.vlc_telnet,VLC-TELNET,,,,idle,,
,,media_player,media_player.enricos_pod,Enrico’s Pod,,,,idle,,
,,remote,remote.enricos_pod,Enrico’s Pod,,,,on,,
,connectivity,binary_sensor,binary_sensor.192_168_1_1,192.168.1.1,,,,on,,
,,ai_task,ai_task.google_ai_task,Google AI Task,,,,unknown,,
,,conversation,conversation.google_ai_conversation,Google AI Conversation,,,,unknown,,
,,stt,stt.google_ai_stt,Google AI STT,,,,unknown,,
,,tts,tts.google_ai_tts,Google AI TTS,,,,unknown,,
,,sensor,sensor.adguard_home_safe_browsing_blocked,AdGuard Home Safe browsing blocked,,,,0,,requests
,,sensor,sensor.adguard_home_safe_searches_enforced,AdGuard Home Safe searches enforced,,,,0,,requests
,,sensor,sensor.adguard_home_average_processing_speed,AdGuard Home Average processing speed,,,,0,,ms
,,switch,switch.adguard_home_parental_control,AdGuard Home Parental control,,,,off,,
,,switch,switch.adguard_home_safe_search,AdGuard Home Safe search,,,,on,,
,frequency,sensor,sensor.cpu_speed,CPU Speed,,,,2.48,,GHz
,enum,sensor,sensor.hp_color_laserjet_mfp_m476nw,HP Color LaserJet MFP M476nw,,,,idle,,
,,switch,switch.adguard_home_safe_browsing,AdGuard Home Safe browsing,,,,off,,
,,switch,switch.adguard_home_filtering,AdGuard Home Filtering,,,,on,,
,,switch,switch.adguard_home_query_log,AdGuard Home Query log,,,,on,,
,,sensor,sensor.ai_provider_status_google,AI Provider Status (Google),,,,connected,,
,,sensor,sensor.max_input_tokens_google,Max Input Tokens (Google),,,,500,,tokens
,,sensor,sensor.max_output_tokens_google,Max Output Tokens (Google),,,,500,,tokens
,,sensor,sensor.ai_model_in_use_google,AI Model In Use (Google),,,,gemini-2.0-flash,,
,,sensor,sensor.last_error_message_google,Last Error Message (Google),,,,No Error,,
,,sensor,sensor.openweathermap_weather,OpenWeatherMap Weather,,,,overcast clouds,,
,temperature,sensor,sensor.openweathermap_dew_point,OpenWeatherMap Dew point temperature,,,,11.61,,°C
,temperature,sensor,sensor.openweathermap_temperature,OpenWeatherMap Temperature,,,,13.73,,°C
,temperature,sensor,sensor.openweathermap_feels_like_temperature,OpenWeatherMap Apparent temperature,,,,13.43,,°C
,wind_speed,sensor,sensor.openweathermap_wind_speed,OpenWeatherMap Wind speed,,,,11.124,,km/h
,wind_speed,sensor,sensor.openweathermap_wind_gust,OpenWeatherMap Wind gust speed,,,,29.628,,km/h
,wind_direction,sensor,sensor.openweathermap_wind_bearing,OpenWeatherMap Wind direction,,,,100,,°
,humidity,sensor,sensor.openweathermap_humidity,OpenWeatherMap Humidity,,,,87,,%
,pressure,sensor,sensor.openweathermap_pressure,OpenWeatherMap Pressure,,,,1019,,hPa
,,sensor,sensor.openweathermap_cloud_coverage,OpenWeatherMap Cloud coverage,,,,100,,%
,precipitation_intensity,sensor,sensor.openweathermap_rain,OpenWeatherMap Rain intensity,,,,0,,mm/h
,precipitation_intensity,sensor,sensor.openweathermap_snow,OpenWeatherMap Snow intensity,,,,0,,mm/h
,,sensor,sensor.openweathermap_precipitation_kind,OpenWeatherMap Precipitation kind,,,,None,,
,,sensor,sensor.openweathermap_uv_index,OpenWeatherMap UV index,,,,0.08,,UV index
,distance,sensor,sensor.openweathermap_visibility,OpenWeatherMap Visibility,,,,10000,,m
,,sensor,sensor.openweathermap_condition,OpenWeatherMap Condition,,,,cloudy,,
,,sensor,sensor.openweathermap_weather_code,OpenWeatherMap Weather code,,,,804,,
,,weather,weather.openweathermap,OpenWeatherMap,87,,,cloudy,13.7,
,,sensor,sensor.flightradar24_current_in_area,FlightRadar24 Current in area,,,2025-11-07T05:59:59.072424,0,,
,,sensor,sensor.flightradar24_entered_area,FlightRadar24 Entered area,,,2025-11-07T05:59:59.073165,0,,
,,sensor,sensor.flightradar24_exited_area,FlightRadar24 Exited area,,,2025-11-07T05:59:59.075572,0,,
,,sensor,sensor.flightradar24_most_tracked,FlightRadar24 Most tracked,,,2025-11-07T05:59:59.076439,10,,
,,sensor,sensor.flightradar24_additional_tracked,FlightRadar24 Additional tracked,,,2025-11-07T05:59:59.077037,0,,
,,switch,switch.api_data_fetching,API data fetching,,,,on,,
,,text,text.flightradar24_add_to_track,FlightRadar24 Add to track,,,,,,
,,text,text.flightradar24_remove_from_track,FlightRadar24 Remove from track,,,,,,
,restart,button,button.clear_additional_tracked,Clear Additional tracked,,,,unknown,,
,,select,select.deyeinvertermaster_load_limit_exp_ess_non_ess,DeyeInverterMaster Load Limit Exp/Ess/Non-Ess,,,,Essentials,,
,,select,select.deyeinvertermaster_energy_management_model,DeyeInverterMaster Energy Management Model,,,,Load First Mode,,
,,select,select.deyeinvertermaster_timezone1_charge,DeyeInverterMaster Timezone1 Charge,,,,None,,
,,select,select.deyeinvertermaster_timezone2_charge,DeyeInverterMaster Timezone2 Charge,,,,None,,
,,select,select.deyeinvertermaster_timezone3_charge,DeyeInverterMaster Timezone3 Charge,,,,None,,
,,select,select.deyeinvertermaster_timezone4_charge,DeyeInverterMaster Timezone4 Charge,,,,None,,
,,select,select.deyeinvertermaster_timezone5_charge,DeyeInverterMaster Timezone5 Charge,,,,None,,
,,select,select.deyeinvertermaster_timezone6_charge,DeyeInverterMaster Timezone6 Charge,,,,None,,
,,select,select.deyeinvertermaster_generator_peak_shaving,DeyeInverterMaster Generator Peak Shaving,,,,Disable,,
,,select,select.deyeinvertermaster_grid_peak_shaving,DeyeInverterMaster Grid Peak Shaving,,,,Disable,,
,,select,select.deyeinvertermaster_on_grid_always_on,DeyeInverterMaster On Grid Always On,,,,Disable,,
,,select,select.deyeinvertermaster_battery_control_mode,DeyeInverterMaster Battery control mode,,,,Lithium,,
,,select,select.deyeinvertermaster_battery_operation_mode,DeyeInverterMaster Battery operation mode,,,,Capacity,,
,,select,select.deyeinvertermaster_battery_wake_up_lithium,DeyeInverterMaster Battery Wake Up Lithium,,,,Disable,,
,,select,select.deyeinvertermaster_aux_port_function,DeyeInverterMaster Aux Port function,,,,Generator input,,
,,select,select.deyeinvertermaster_inverter_basic_settings_beep,DeyeInverterMaster Inverter Basic Settings Beep,,,,Disable,,
,,select,select.deyeinvertermaster_inverter_basic_settings_sync_clock,DeyeInverterMaster Inverter Basic Settings Sync Clock,,,,Disable,,
,,select,select.deyeinvertermaster_grid_signal,DeyeInverterMaster Grid Signal,,,,Enable,,
,,select,select.deyeinvertermaster_generator_signal,DeyeInverterMaster Generator Signal,,,,Disable,,
,connectivity,binary_sensor,binary_sensor.deyeinvertermaster_status_deyeinvertermaster,DeyeInverterMaster Status deyeinvertermaster,,,,on,,
,,binary_sensor,binary_sensor.deyeinvertermaster_grid_connected_status,DeyeInverterMaster Grid Connected Status,,,,on,,
,,binary_sensor,binary_sensor.deyeinvertermaster_generator_connected_status,DeyeInverterMaster Generator Connected Status,,,,off,,
,,button,button.deyeinvertermaster_inverter_sync_clock,DeyeInverterMaster Inverter Sync Clock,,,,unknown,,
,,switch,switch.deyeinvertermaster_wifi_logger_restart,DeyeInverterMaster Wifi logger Restart,,,,off,,
,,switch,switch.deyeinvertermaster_time_of_use,DeyeInverterMaster Time of Use,,,,on,,
,,switch,switch.deyeinvertermaster_export_solar_enabled,DeyeInverterMaster Export Solar Enabled,,,,off,,
,,switch,switch.deyeinvertermaster_battery_generator_charge_enabled,DeyeInverterMaster Battery Generator Charge Enabled,,,,off,,
,,switch,switch.deyeinvertermaster_battery_grid_charge_enabled,DeyeInverterMaster Battery Grid Charge Enabled,,,,off,,
,,switch,switch.deyeinvertermaster_force_generator,DeyeInverterMaster Force Generator,,,,off,,
,,switch,switch.deyeinvertermaster_signal_island_mode,DeyeInverterMaster Signal Island Mode,,,,on,,
,,sensor,sensor.deyeinvertermaster_wifi_logger_signal,DeyeInverterMaster Wifi logger signal,,,,71.0,,%
,duration,sensor,sensor.deyeinvertermaster_wifi_logger_uptime,DeyeInverterMaster Wifi logger Uptime,,,,56339.89453125,,s
,energy,sensor,sensor.deyeinvertermaster_summary_total_battery_charge,DeyeInverterMaster Summary Total Battery Charge,,,,0.494499981403351,,MWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_battery_discharge,DeyeInverterMaster Summary Total Battery Discharge,,,,0.214999988675117,,MWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_grid_export_sell,DeyeInverterMaster Summary Total Grid Export(Sell),,,,0.0007999999797903,,MWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_grid_import_buy,DeyeInverterMaster Summary Total Grid Import(Buy),,,,0.470800012350082,,MWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_load,DeyeInverterMaster Summary Total Load,,,,0.836499989032745,,MWh
,energy,sensor,sensor.deyeinvertermaster_summary_total_pv,DeyeInverterMaster Summary Total PV,,,,0.947999954223633,,MWh
,power,sensor,sensor.deyeinvertermaster_grid_load,DeyeInverterMaster Grid Load,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_grid_load_l1,DeyeInverterMaster Grid Load L1,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_grid_load_l2,DeyeInverterMaster Grid Load L2,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_load_power_l1,DeyeInverterMaster Load Power L1,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_load_power_l2,DeyeInverterMaster Load Power L2,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_load_power,DeyeInverterMaster Load Power,,,,0.0,,W
,,sensor,sensor.deyeinvertermaster_pv1_voltage,DeyeInverterMaster PV1 Voltage,,,,255.800003051758,,V
,,sensor,sensor.deyeinvertermaster_pv1_current,DeyeInverterMaster PV1 Current,,,,0.200000002980232,,A
,power,sensor,sensor.deyeinvertermaster_pv1_power,DeyeInverterMaster PV1 Power,,,,61.0,,W
,,sensor,sensor.deyeinvertermaster_pv2_voltage,DeyeInverterMaster PV2 Voltage,,,,254.600006103516,,V
,,sensor,sensor.deyeinvertermaster_pv2_current,DeyeInverterMaster PV2 Current,,,,0.300000011920929,,A
,power,sensor,sensor.deyeinvertermaster_pv2_power,DeyeInverterMaster PV2 Power,,,,90.0,,W
,,sensor,sensor.deyeinvertermaster_pv3_voltage,DeyeInverterMaster PV3 Voltage,,,,0.0,,V
,,sensor,sensor.deyeinvertermaster_pv3_current,DeyeInverterMaster PV3 Current,,,,0.0,,A
,,sensor,sensor.deyeinvertermaster_pv4_voltage,DeyeInverterMaster PV4 Voltage,,,,0.0,,V
,,sensor,sensor.deyeinvertermaster_pv4_current,DeyeInverterMaster PV4 Current,,,,0.0,,A
,power,sensor,sensor.deyeinvertermaster_pv3_power,DeyeInverterMaster PV3 Power,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_pv4_power,DeyeInverterMaster PV4 Power,,,,0.0,,W
,power,sensor,sensor.deyeinvertermaster_pv_power,DeyeInverterMaster PV Power,,,,151.0,,W
