current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,connectivity,binary_sensor,binary_sensor.network_monitoring_active,Network Monitoring Active,,,,,off,,
,running,binary_sensor,binary_sensor.get_hacs_running_2,Get HACS Running,,,,,off,,
,running,binary_sensor,binary_sensor.file_editor_running,File editor Running,,,,,on,,
,running,binary_sensor,binary_sensor.matter_server_running,Matter Server Running,,,,,on,,
,running,binary_sensor,binary_sensor.samba_share_running,Samba share Running,,,,,on,,
,running,binary_sensor,binary_sensor.terminal_ssh_running,Terminal & SSH Running,,,,,on,,
,running,binary_sensor,binary_sensor.vlc_running,VLC Running,,,,,on,,
,running,binary_sensor,binary_sensor.adguard_home_running,AdGuard Home Running,,,,,on,,
,running,binary_sensor,binary_sensor.appdaemon_running,AppDaemon Running,,,,,on,,
,running,binary_sensor,binary_sensor.grafana_running,Grafana Running,,,,,off,,
,running,binary_sensor,binary_sensor.influxdb_running,InfluxDB Running,,,,,on,,
,running,binary_sensor,binary_sensor.log_viewer_running,Log Viewer Running,,,,,off,,
,running,binary_sensor,binary_sensor.motioneye_running,motionEye Running,,,,,on,,
,running,binary_sensor,binary_sensor.mqtt_io_running,MQTT IO Running,,,,,off,,
,running,binary_sensor,binary_sensor.node_red_running,Node-RED Running,,,,,on,,
,running,binary_sensor,binary_sensor.sabnzbd_running,SABnzbd Running,,,,,on,,
,running,binary_sensor,binary_sensor.spotify_connect_running,Spotify Connect Running,,,,,on,,
,running,binary_sensor,binary_sensor.studio_code_server_running,Studio Code Server Running,,,,,on,,
,running,binary_sensor,binary_sensor.mosquitto_broker_running,Mosquitto broker Running,,,,,on,,
,running,binary_sensor,binary_sensor.tailscale_running,Tailscale Running,,,,,on,,
,running,binary_sensor,binary_sensor.tor_running,Tor Running,,,,,on,,
,running,binary_sensor,binary_sensor.vaultwarden_bitwarden_running,Vaultwarden (Bitwarden) Running,,,,,off,,
,running,binary_sensor,binary_sensor.uptime_kuma_running,Uptime Kuma Running,,,,,on,,
,running,binary_sensor,binary_sensor.zerotier_one_running,ZeroTier One Running,,,,,on,,
,running,binary_sensor,binary_sensor.traccar_running,Traccar Running,,,,,on,,
,running,binary_sensor,binary_sensor.music_assistant_running,Music Assistant Running,,,,,on,,
,running,binary_sensor,binary_sensor.nginx_proxy_manager_running,Nginx Proxy Manager Running,,,,,on,,
,running,binary_sensor,binary_sensor.jupyterlab_running,JupyterLab Running,,,,,off,,
,running,binary_sensor,binary_sensor.sqlite_web_running,SQLite Web Running,,,,,on,,
,running,binary_sensor,binary_sensor.get_hacs_running,Get HACS Running,,,,,off,,
,running,binary_sensor,binary_sensor.duck_dns_running,Duck DNS Running,,,,,off,,
,running,binary_sensor,binary_sensor.dropbox_sync_running,Dropbox Sync Running,,,,,on,,
,running,binary_sensor,binary_sensor.folding_home_running,Folding@home Running,,,,,on,,
,problem,binary_sensor,binary_sensor.system_health_critical,System Health Critical,,,,,off,,
,update,binary_sensor,binary_sensor.updates_available,Updates Available,,,,,on,,
,,sensor,sensor.get_hacs_version_2,Get HACS Version,,,,,1.3.1,,
